MSA,Wetness
Houston-The Woodlands-Sugar Land, 43479780
Dallas-Fort Worth-Arlington, 42112539
Chicago-Naperville-Elgin, 25351283
New York-Newark-Jersey City, 21076415
San Antonio-New Braunfels, 14450810
Oklahoma City, 12950381
Austin-Round Rock, 12622374
Kansas City, 11513773
Tampa-St. Petersburg-Clearwater, 11489475
Minneapolis-St. Paul-Bloomington, 10867625
Washington-Arlington-Alexandria, 9435902
Detroit-Warren-Dearborn, 9056062
Atlanta-Sandy Springs-Roswell, 8679835
Tulsa, 8651131
St. Louis, 8629086
Tallahassee, 8234583
Denver-Aurora-Lakewood, 7454202
Cleveland-Elyria, 5987873
Miami-Fort Lauderdale-West Palm Beach, 5471905
Wichita, 5471049
