Id,Id2,Geography,"April 1, 2010 - Census","April 1, 2010 - Estimates Base",Population Estimate (as of July 1) - 2014
310M200US10100,10100,"Aberdeen, SD Micro Area",40602,40602,42391
310M200US10140,10140,"Aberdeen, WA Micro Area",72797,72797,70818
310M200US10180,10180,"Abilene, TX Metro Area",165252,165252,168592
310M200US10220,10220,"Ada, OK Micro Area",37492,37492,38005
310M200US10260,10260,"Adjuntas, PR Micro Area",19483,19483,18900
310M200US10300,10300,"Adrian, MI Micro Area",99892,99892,99047
310M200US10380,10380,"Aguadilla-Isabela, PR Metro Area",339441,339465,322641
310M200US10420,10420,"Akron, OH Metro Area",703200,703207,703825
310M200US10460,10460,"Alamogordo, NM Micro Area",63797,63799,65082
310M200US10500,10500,"Albany, GA Metro Area",157308,157500,154925
310M200US10540,10540,"Albany, OR Metro Area",116672,116672,119356
310M200US10580,10580,"Albany-Schenectady-Troy, NY Metro Area",870716,870720,880167
310M200US10620,10620,"Albemarle, NC Micro Area",60585,60585,60600
310M200US10660,10660,"Albert Lea, MN Micro Area",31255,31255,30840
310M200US10700,10700,"Albertville, AL Micro Area",93019,93019,94636
310M200US10740,10740,"Albuquerque, NM Metro Area",887077,887075,904587
310M200US10780,10780,"Alexandria, LA Metro Area",153922,153922,154872
310M200US10820,10820,"Alexandria, MN Micro Area",36009,36009,36790
310M200US10860,10860,"Alice, TX Micro Area",40838,40839,41353
310M200US10900,10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",821173,821303,829835
310M200US10940,10940,"Alma, MI Micro Area",42476,42476,41665
310M200US10980,10980,"Alpena, MI Micro Area",29598,29598,28988
310M200US11020,11020,"Altoona, PA Metro Area",127089,127078,125955
310M200US11060,11060,"Altus, OK Micro Area",26446,26446,25998
310M200US11100,11100,"Amarillo, TX Metro Area",251933,251933,259885
310M200US11140,11140,"Americus, GA Micro Area",37829,37827,36395
310M200US11180,11180,"Ames, IA Metro Area",89542,89542,94073
310M200US11220,11220,"Amsterdam, NY Micro Area",50219,50236,49779
310M200US11260,11260,"Anchorage, AK Metro Area",380821,380821,398892
310M200US11380,11380,"Andrews, TX Micro Area",14786,14786,17477
310M200US11420,11420,"Angola, IN Micro Area",34185,34183,34308
310M200US11460,11460,"Ann Arbor, MI Metro Area",344791,345066,356874
310M200US11500,11500,"Anniston-Oxford-Jacksonville, AL Metro Area",118572,118586,115916
310M200US11540,11540,"Appleton, WI Metro Area",225666,225666,231497
310M200US11580,11580,"Arcadia, FL Micro Area",34862,34862,35012
310M200US11620,11620,"Ardmore, OK Micro Area",47557,47726,48821
310M200US11640,11640,"Arecibo, PR Metro Area",199471,199471,191864
310M200US11660,11660,"Arkadelphia, AR Micro Area",22995,22995,22576
310M200US11680,11680,"Arkansas City-Winfield, KS Micro Area",36311,36311,35963
310M200US11700,11700,"Asheville, NC Metro Area",424858,424859,442316
310M200US11740,11740,"Ashland, OH Micro Area",53139,53139,53035
310M200US11780,11780,"Ashtabula, OH Micro Area",101497,101497,99175
310M200US11820,11820,"Astoria, OR Micro Area",37039,37037,37474
310M200US11860,11860,"Atchison, KS Micro Area",16924,16924,16513
310M200US11900,11900,"Athens, OH Micro Area",64757,64773,64713
310M200US11940,11940,"Athens, TN Micro Area",52266,52266,52626
310M200US11980,11980,"Athens, TX Micro Area",78532,78536,79290
310M200US12020,12020,"Athens-Clarke County, GA Metro Area",192541,192541,199016
310M200US12060,12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",5286728,5286727,5614323
310M200US12100,12100,"Atlantic City-Hammonton, NJ Metro Area",274549,274549,275209
310M200US12140,12140,"Auburn, IN Micro Area",42223,42223,42383
310M200US12180,12180,"Auburn, NY Micro Area",80026,80025,78823
310M200US12220,12220,"Auburn-Opelika, AL Metro Area",140247,140296,154255
310M200US12260,12260,"Augusta-Richmond County, GA-SC Metro Area",564873,564873,583632
310M200US12300,12300,"Augusta-Waterville, ME Micro Area",122151,122151,121112
310M200US12380,12380,"Austin, MN Micro Area",39163,39163,39323
310M200US12420,12420,"Austin-Round Rock, TX Metro Area",1716289,1716303,1943299
310M200US12460,12460,"Bainbridge, GA Micro Area",27842,27842,27220
310M200US12540,12540,"Bakersfield, CA Metro Area",839631,839631,874589
310M200US12580,12580,"Baltimore-Columbia-Towson, MD Metro Area",2710489,2710597,2785874
310M200US12620,12620,"Bangor, ME Metro Area",153923,153920,153414
310M200US12660,12660,"Baraboo, WI Micro Area",61976,61976,63379
310M200US12680,12680,"Bardstown, KY Micro Area",43437,43437,44812
310M200US12700,12700,"Barnstable Town, MA Metro Area",215888,215888,214914
310M200US12740,12740,"Barre, VT Micro Area",59534,59535,58998
310M200US12780,12780,"Bartlesville, OK Micro Area",50976,50977,51937
310M200US12820,12820,"Bastrop, LA Micro Area",27979,27979,26760
310M200US12860,12860,"Batavia, NY Micro Area",60079,60050,59162
310M200US12900,12900,"Batesville, AR Micro Area",36647,36647,36959
310M200US12940,12940,"Baton Rouge, LA Metro Area",802484,802500,825478
310M200US12980,12980,"Battle Creek, MI Metro Area",136146,136148,134878
310M200US13020,13020,"Bay City, MI Metro Area",107771,107771,106179
310M200US13060,13060,"Bay City, TX Micro Area",36702,36702,36519
310M200US13100,13100,"Beatrice, NE Micro Area",22311,22311,21663
310M200US13140,13140,"Beaumont-Port Arthur, TX Metro Area",403190,403190,405427
310M200US13180,13180,"Beaver Dam, WI Micro Area",88759,88761,88574
310M200US13220,13220,"Beckley, WV Metro Area",124898,124901,123373
310M200US13260,13260,"Bedford, IN Micro Area",46134,46129,45704
310M200US13300,13300,"Beeville, TX Micro Area",31861,31861,32863
310M200US13340,13340,"Bellefontaine, OH Micro Area",45858,45858,45507
310M200US13380,13380,"Bellingham, WA Metro Area",201140,201140,208351
310M200US13420,13420,"Bemidji, MN Micro Area",44442,44442,45664
310M200US13460,13460,"Bend-Redmond, OR Metro Area",157733,157733,170388
310M200US13500,13500,"Bennettsville, SC Micro Area",28933,28933,27924
310M200US13540,13540,"Bennington, VT Micro Area",37125,37125,36445
310M200US13620,13620,"Berlin, NH-VT Micro Area",39361,39358,37778
310M200US13660,13660,"Big Rapids, MI Micro Area",42798,42798,43186
310M200US13700,13700,"Big Spring, TX Micro Area",36238,36238,37942
310M200US13720,13720,"Big Stone Gap, VA Micro Area",61313,61318,59274
