Id,Id2,Geography,"April 1, 2010 - Census","April 1, 2010 - Estimates Base",Population Estimate (as of July 1) - 2014
310M200US10180,10180,"Abilene, TX Metro Area",165252,165252,168592
310M200US10380,10380,"Aguadilla-Isabela, PR Metro Area",339441,339465,322641
310M200US10420,10420,"Akron, OH Metro Area",703200,703207,703825
310M200US10500,10500,"Albany, GA Metro Area",157308,157500,154925
310M200US10540,10540,"Albany, OR Metro Area",116672,116672,119356
310M200US10580,10580,"Albany-Schenectady-Troy, NY Metro Area",870716,870720,880167
310M200US10740,10740,"Albuquerque, NM Metro Area",887077,887075,904587
310M200US10780,10780,"Alexandria, LA Metro Area",153922,153922,154872
310M200US10900,10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",821173,821303,829835
310M200US11020,11020,"Altoona, PA Metro Area",127089,127078,125955
310M200US11100,11100,"Amarillo, TX Metro Area",251933,251933,259885
310M200US11180,11180,"Ames, IA Metro Area",89542,89542,94073
310M200US11260,11260,"Anchorage, AK Metro Area",380821,380821,398892
310M200US11460,11460,"Ann Arbor, MI Metro Area",344791,345066,356874
310M200US11500,11500,"Anniston-Oxford-Jacksonville, AL Metro Area",118572,118586,115916
310M200US11540,11540,"Appleton, WI Metro Area",225666,225666,231497
310M200US11640,11640,"Arecibo, PR Metro Area",199471,199471,191864
310M200US11700,11700,"Asheville, NC Metro Area",424858,424859,442316
310M200US12020,12020,"Athens-Clarke County, GA Metro Area",192541,192541,199016
310M200US12060,12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",5286728,5286727,5614323
310M200US12100,12100,"Atlantic City-Hammonton, NJ Metro Area",274549,274549,275209
310M200US12220,12220,"Auburn-Opelika, AL Metro Area",140247,140296,154255
310M200US12260,12260,"Augusta-Richmond County, GA-SC Metro Area",564873,564873,583632
310M200US12420,12420,"Austin-Round Rock, TX Metro Area",1716289,1716303,1943299
310M200US12540,12540,"Bakersfield, CA Metro Area",839631,839631,874589
310M200US12580,12580,"Baltimore-Columbia-Towson, MD Metro Area",2710489,2710597,2785874
310M200US12620,12620,"Bangor, ME Metro Area",153923,153920,153414
310M200US12700,12700,"Barnstable Town, MA Metro Area",215888,215888,214914
310M200US12940,12940,"Baton Rouge, LA Metro Area",802484,802500,825478
310M200US12980,12980,"Battle Creek, MI Metro Area",136146,136148,134878
310M200US13020,13020,"Bay City, MI Metro Area",107771,107771,106179
310M200US13140,13140,"Beaumont-Port Arthur, TX Metro Area",403190,403190,405427
310M200US13220,13220,"Beckley, WV Metro Area",124898,124901,123373
310M200US13380,13380,"Bellingham, WA Metro Area",201140,201140,208351
310M200US13460,13460,"Bend-Redmond, OR Metro Area",157733,157733,170388
310M200US13740,13740,"Billings, MT Metro Area",158934,158934,166885
310M200US13780,13780,"Binghamton, NY Metro Area",251725,251725,247219
310M200US13820,13820,"Birmingham-Hoover, AL Metro Area",1128047,1128056,1143772
310M200US13900,13900,"Bismarck, ND Metro Area",114778,114778,126597
310M200US13980,13980,"Blacksburg-Christiansburg-Radford, VA Metro Area",178237,178254,181605
310M200US14010,14010,"Bloomington, IL Metro Area",186133,186133,190345
310M200US14020,14020,"Bloomington, IN Metro Area",159549,159542,164308
310M200US14100,14100,"Bloomsburg-Berwick, PA Metro Area",85562,85563,85763
310M200US14260,14260,"Boise City, ID Metro Area",616561,616561,664422
310M200US14460,14460,"Boston-Cambridge-Newton, MA-NH Metro Area",4552402,4552412,4732161
310M200US14500,14500,"Boulder, CO Metro Area",294567,294571,313333
310M200US14540,14540,"Bowling Green, KY Metro Area",158599,158599,165732
310M200US14740,14740,"Bremerton-Silverdale, WA Metro Area",251133,251133,254183
310M200US14860,14860,"Bridgeport-Stamford-Norwalk, CT Metro Area",916829,916828,945438
310M200US15180,15180,"Brownsville-Harlingen, TX Metro Area",406220,406220,420392
310M200US15260,15260,"Brunswick, GA Metro Area",112370,112368,114806
310M200US15380,15380,"Buffalo-Cheektowaga-Niagara Falls, NY Metro Area",1135509,1135541,1136360
310M200US15500,15500,"Burlington, NC Metro Area",151131,151241,155792
310M200US15540,15540,"Burlington-South Burlington, VT Metro Area",211261,211262,216167
310M200US15680,15680,"California-Lexington Park, MD Metro Area",105151,105151,110382
310M200US15940,15940,"Canton-Massillon, OH Metro Area",404422,404420,403923
310M200US15980,15980,"Cape Coral-Fort Myers, FL Metro Area",618754,618754,679513
310M200US16020,16020,"Cape Girardeau, MO-IL Metro Area",96275,96275,97929
310M200US16060,16060,"Carbondale-Marion, IL Metro Area",126575,126580,126685
310M200US16180,16180,"Carson City, NV Metro Area",55274,55274,54522
310M200US16220,16220,"Casper, WY Metro Area",75450,75450,81624
310M200US16300,16300,"Cedar Rapids, IA Metro Area",257940,257940,263885
310M200US16540,16540,"Chambersburg-Waynesboro, PA Metro Area",149618,149618,152892
310M200US16580,16580,"Champaign-Urbana, IL Metro Area",231891,231889,237252
310M200US16620,16620,"Charleston, WV Metro Area",227078,227071,222878
310M200US16700,16700,"Charleston-North Charleston, SC Metro Area",664607,664643,727689
310M200US16740,16740,"Charlotte-Concord-Gastonia, NC-SC Metro Area",2217012,2217248,2380314
